id,adventure_boss_id ,floor,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,reward_1_type,reward_1_id,reward_1_min,reward_1_max,reward_1_ratio,reward_2_type,reward_2_id,reward_2_min,reward_2_max,reward_2_ratio,reward_3_type,reward_3_id,reward_3_min,reward_3_max,reward_3_ratio,min_drop_item,max_drop_item,stage_buff_skill_id
1,1,1,150,50,60,153,0,80,50,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
2,1,2,150,100,80,130,0,20,100,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
3,1,3,150,273,310,270,0,437,364,chapter_01_02,bgm_yggdrasil_02,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
4,1,4,150,1200,1100,800,0,1400,898,chapter_01_02,bgm_yggdrasil_02,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
5,1,5,150,2650,1900,1350,0,2525,2525,chapter_01_03,bgm_yggdrasil_03,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
6,1,6,150,2650,1900,1350,0,2525,2525,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401001
7,1,7,150,1880,1650,220,0,8000,3159,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401001
8,1,8,150,3550,3150,3200,0,10000,3841,chapter_01_02,bgm_yggdrasil_02,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401001
9,1,9,150,5100,2500,6000,0,16500,4300,chapter_01_02,bgm_yggdrasil_02,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401001
10,1,10,150,6800,4900,7000,0,35300,6000,chapter_01_03,bgm_yggdrasil_03,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401001
11,1,11,150,6800,4900,7000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401002
12,1,12,150,24300,31200,21200,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401002
13,1,13,150,36450,46800,31800,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401002
